Term: 36 months,Term: 60 months,Loan_Grade:A,Loan_Grade:B,Loan_Grade:C,Loan_Grade:D,Loan_Grade:E,Loan_Grade:F,Loan_Grade:G,Loan_SubGrade:A1,Loan_SubGrade:A2,Loan_SubGrade:A3,Loan_SubGrade:A4,Loan_SubGrade:A5,Loan_SubGrade:B1,Loan_SubGrade:B2,Loan_SubGrade:B3,Loan_SubGrade:B4,Loan_SubGrade:B5,Loan_SubGrade:C1,Loan_SubGrade:C2,Loan_SubGrade:C3,Loan_SubGrade:C4,Loan_SubGrade:C5,Loan_SubGrade:D1,Loan_SubGrade:D2,Loan_SubGrade:D3,Loan_SubGrade:D4,Loan_SubGrade:D5,Loan_SubGrade:E1,Loan_SubGrade:E2,Loan_SubGrade:E3,Loan_SubGrade:E4,Loan_SubGrade:E5,Loan_SubGrade:F1,Loan_SubGrade:F2,Loan_SubGrade:F3,Loan_SubGrade:F4,Loan_SubGrade:F5,Loan_SubGrade:G1,Loan_SubGrade:G2,Loan_SubGrade:G3,Loan_SubGrade:G4,Loan_SubGrade:G5,Employment_Length:1 year,Employment_Length:10+ years,Employment_Length:2 years,Employment_Length:3 years,Employment_Length:4 years,Employment_Length:5 years,Employment_Length:6 years,Employment_Length:7 years,Employment_Length:8 years,Employment_Length:9 years,Employment_Length:< 1 year,Employment_Length:nan,Home_Ownership:ANY,Home_Ownership:MORTGAGE,Home_Ownership:OWN,Home_Ownership:RENT,Loan_Title:Business,Loan_Title:Car financing,Loan_Title:Credit card refinancing,Loan_Title:Debt consolidation,Loan_Title:Green loan,Loan_Title:Home buying,Loan_Title:Home improvement,Loan_Title:Major purchase,Loan_Title:Medical expenses,Loan_Title:Moving and relocation,Loan_Title:Other,Loan_Title:Vacation,loan_amnt,int_rate,installment,annual_inc,inq_last_6mths,revol_bal,total_pymnt,total_rec_late_fee,last_pymnt_amnt,acc_open_past_24mths,delinq_amnt,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
-0.012078832878617357,0.0,0.0,0.09676257639596436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01892124929430325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049338238093933895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009089052894113658,-0.10716391218980763,0.017410602131102793,0.0,0.0,0.010126980029033505,-0.4641387951051429,0.0,0.03350688604975577,0.0,0.0,0.0,0.0,0.004108077067929872,0.008522292501971285,0.0
0.0,0.0,0.23555578101317315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026032015651144824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008804463442262808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004685970086658435,0.0,0.0,0.017779023896108755,-0.014555327014279758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05701741625223766,0.043639888754518213,-0.03310755635857829,-0.027019599503856268,0.0,0.0,0.21539440562808665,0.0,-0.032419731402492644,0.018127248031192755,0.0,0.0,-0.017636478231094654,0.0,-0.00718439690714362,-0.019469363948937057
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006498666031585831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016510001112125756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036664132406705498,0.0,0.0,0.0,0.0,0.0,-0.006385392118710968,-0.025805282327028646,-0.004576117167432808,-0.003956243613406393,0.11778921745176094,0.0,-0.07671982018312884,0.02297958172285438,0.0,0.0,0.004440658874900673,0.0,-0.04804885414961996,-0.005042668105806294
-0.014466482403774433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009100715698055872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03738343301249247,-0.01201071889454497,0.0429534438406427,0.0,0.0,0.013338764737992864,-0.516821777249371,0.0,0.040489535166428836,-0.011966913907922427,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.11873138141874091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018360754271015026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0306369943210844,0.0,-0.013405808624343218,0.0,0.0,0.0,0.0,0.0,-0.005487771790243925,0.0,0.0,0.0,0.0,0.0,0.0,-0.030758996434954836,0.0,-0.03918641492731919,0.0693287165588619,-0.012044383108927501,-0.013970242810690954,-0.007880492218714358,0.0,0.20265758072953863,0.0,-0.00656217301304491,0.0,0.0,0.0,-0.03436909750804115,0.0,-0.008591786841280168,0.0
0.0,0.0,0.0,0.0,0.0,-0.046303908161661564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055681780885592974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01270489963838397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038214106620009396,0.015343098183209686,-0.02507908586151495,-0.019419469460957163,-0.003032816333190802,0.0,-0.20140026565868596,0.0,-0.030414064211020192,-0.0034360364790876896,0.0,0.0,-0.011465343404557293,0.0,-0.014380241400714755,-0.003220879344600913
0.0,0.005386372884465751,0.0,0.13218417713724143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06815905260004691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030494647575255107,0.0743432456686299,0.03732386545201302,0.0,0.0,0.00819410990007155,0.0454488067778082,0.0,0.03684738517826963,0.009776656128207273,0.0,0.0,0.0,0.007016467807953897,0.0,-0.015174787109962729
0.0,0.0,0.2541958070600213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07291534837669003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008635097204299988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034120373844250096,0.05970304173127413,0.050088959333138526,0.0,0.0,0.0077973246457750285,-0.05268446324084037,0.0,0.06334036296123999,0.019771192320915367,0.0,0.0,-0.0349121883497931,0.012428271206549161,-0.00786941448265055,0.004470287389130301
0.0,0.0,0.0,0.0928244771297426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026918175902765767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011089367028258329,-0.11577640230287803,-0.020615433186560575,0.0,0.0,0.0,-0.3539859872568557,0.0,0.045221145044675407,-0.030500360212591525,0.0,0.0,-0.00900458660161213,0.0,0.00800833851157251,0.0
0.0,0.0,0.2421692244587034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01860876118850452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02305266130777818,0.0,0.0,-0.018245089707040196,0.0,0.0,0.0,0.029262527050086,0.006125619464573573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047239808258958474,0.060673239692001335,-0.045287448361151256,0.005501560403931571,-0.013360462557524475,-0.006658712702336478,0.138721346282695,0.0,-0.02288883472590969,-0.02048798812775318,0.0,0.0,0.0,0.0,0.004301990427908076,-0.02414326321995164
